trackName,artistName,msPlayed,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Murder In My Mind,Kordhell,1429153,drift phonk,0.712,0.972,10.0,-0.514,1.0,0.112,0.00547,7.06e-05,0.128,0.568,119.966,audio_features,6qyS9qBy0mEk3qYaH8mPss,spotify:track:6qyS9qBy0mEk3qYaH8mPss,https://api.spotify.com/v1/tracks/6qyS9qBy0mEk3qYaH8mPss,https://api.spotify.com/v1/audio-analysis/6qyS9qBy0mEk3qYaH8mPss,145000.0,4.0
Murder In My Mind - Sped Up,Kordhell,159610,drift phonk,0.598,0.994,2.0,-0.89,1.0,0.404,0.00364,0.0617,0.397,0.151,151.135,audio_features,3T56drS7FjnZgGcOAHlXzx,spotify:track:3T56drS7FjnZgGcOAHlXzx,https://api.spotify.com/v1/tracks/3T56drS7FjnZgGcOAHlXzx,https://api.spotify.com/v1/audio-analysis/3T56drS7FjnZgGcOAHlXzx,115200.0,4.0
Murph,Hans Zimmer,5097614,german soundtrack,0.0631,0.123,0.0,-18.226,1.0,0.0471,0.704,0.684,0.0602,0.0284,58.16,audio_features,5GQizQBj0KxTUgd3ZRzaRE,spotify:track:5GQizQBj0KxTUgd3ZRzaRE,https://api.spotify.com/v1/tracks/5GQizQBj0KxTUgd3ZRzaRE,https://api.spotify.com/v1/audio-analysis/5GQizQBj0KxTUgd3ZRzaRE,680779.0,4.0
Must Have Been The Wind,Alec Benjamin,177805,alt z,0.653,0.644,7.0,-6.204,1.0,0.0572,0.784,0.000202,0.161,0.363,88.968,audio_features,6lERHAmBCZmgODv3OYENXi,spotify:track:6lERHAmBCZmgODv3OYENXi,https://api.spotify.com/v1/tracks/6lERHAmBCZmgODv3OYENXi,https://api.spotify.com/v1/audio-analysis/6lERHAmBCZmgODv3OYENXi,177806.0,4.0
Mutate,Jeanne Added,287400,electro-pop francais,0.718,0.427,9.0,-8.1,0.0,0.0395,0.0773,7.74e-05,0.178,0.455,124.89,audio_features,13wRoWza3hzY0a7Ij4sr8K,spotify:track:13wRoWza3hzY0a7Ij4sr8K,https://api.spotify.com/v1/tracks/13wRoWza3hzY0a7Ij4sr8K,https://api.spotify.com/v1/audio-analysis/13wRoWza3hzY0a7Ij4sr8K,167520.0,4.0
Muted Sunrise,Jaden,157253,pop rap,0.644,0.482,9.0,-8.537,1.0,0.0304,0.617,0.00309,0.121,0.0674,144.017,audio_features,1Q4zvy7sa4UpxRsTJzijaq,spotify:track:1Q4zvy7sa4UpxRsTJzijaq,https://api.spotify.com/v1/tracks/1Q4zvy7sa4UpxRsTJzijaq,https://api.spotify.com/v1/audio-analysis/1Q4zvy7sa4UpxRsTJzijaq,142650.0,3.0
My American Life,BROCKHAMPTON,348160,boy band,0.767,0.461,5.0,-7.639,1.0,0.0767,0.57,0.0,0.697,0.119,118.013,audio_features,2GtvxN6tjbqxPZKRNZcJ7x,spotify:track:2GtvxN6tjbqxPZKRNZcJ7x,https://api.spotify.com/v1/tracks/2GtvxN6tjbqxPZKRNZcJ7x,https://api.spotify.com/v1/audio-analysis/2GtvxN6tjbqxPZKRNZcJ7x,87040.0,4.0
My Cloud,Grabbitz,3132374,brostep,0.754,0.938,8.0,-5.874,1.0,0.0612,0.321,4.62e-05,0.0889,0.505,144.074,audio_features,530P6SAf8fiolFiQsSqNer,spotify:track:530P6SAf8fiolFiQsSqNer,https://api.spotify.com/v1/tracks/530P6SAf8fiolFiQsSqNer,https://api.spotify.com/v1/audio-analysis/530P6SAf8fiolFiQsSqNer,187963.0,4.0
My Demons,STARSET,5099592,future rock,0.274,0.652,5.0,-6.196,0.0,0.0625,0.00768,6.42e-05,0.108,0.1,173.008,audio_features,3Xfg7AegXaDLoD5GOUMf2e,spotify:track:3Xfg7AegXaDLoD5GOUMf2e,https://api.spotify.com/v1/tracks/3Xfg7AegXaDLoD5GOUMf2e,https://api.spotify.com/v1/audio-analysis/3Xfg7AegXaDLoD5GOUMf2e,288036.0,4.0
My Drum Machine,Lorn,52660,glitch hop,0.735,0.835,4.0,-7.199,0.0,0.0612,0.00019,0.839,0.573,0.243,125.008,audio_features,7HgBbYGbRbPIB3ICy6zOgG,spotify:track:7HgBbYGbRbPIB3ICy6zOgG,https://api.spotify.com/v1/tracks/7HgBbYGbRbPIB3ICy6zOgG,https://api.spotify.com/v1/audio-analysis/7HgBbYGbRbPIB3ICy6zOgG,257520.0,4.0
My Friends Never Die,ODESZA,171500,chillwave,0.489,0.595,4.0,-8.106,0.0,0.0374,0.00439,0.878,0.0855,0.56,170.05,audio_features,2eMh8ISgK9dylE51SJUixA,spotify:track:2eMh8ISgK9dylE51SJUixA,https://api.spotify.com/v1/tracks/2eMh8ISgK9dylE51SJUixA,https://api.spotify.com/v1/audio-analysis/2eMh8ISgK9dylE51SJUixA,171500.0,4.0
My Garage Is Your House,Alien Pimp,10444,cinematic dubstep,0.768,0.823,1.0,-10.417,0.0,0.078,0.000323,0.724,0.158,0.488,140.023,audio_features,7lV7y3SreQ5nK9feVg3Tyt,spotify:track:7lV7y3SreQ5nK9feVg3Tyt,https://api.spotify.com/v1/tracks/7lV7y3SreQ5nK9feVg3Tyt,https://api.spotify.com/v1/audio-analysis/7lV7y3SreQ5nK9feVg3Tyt,306840.0,4.0
My Gospel,Charlie Puth,1690822,pop,0.7,0.654,6.0,-7.126,0.0,0.297,0.27,0.0,0.0768,0.494,112.039,audio_features,1RdykyqZss4snJH9e58CQJ,spotify:track:1RdykyqZss4snJH9e58CQJ,https://api.spotify.com/v1/tracks/1RdykyqZss4snJH9e58CQJ,https://api.spotify.com/v1/audio-analysis/1RdykyqZss4snJH9e58CQJ,210867.0,4.0
My Heart,KK,33668,filmi,0.842,0.93,9.0,-8.328,0.0,0.0949,0.209,1.42e-05,0.104,0.77,130.0,audio_features,3ppaMjhBDxRi2kTpawOSJn,spotify:track:3ppaMjhBDxRi2kTpawOSJn,https://api.spotify.com/v1/tracks/3ppaMjhBDxRi2kTpawOSJn,https://api.spotify.com/v1/audio-analysis/3ppaMjhBDxRi2kTpawOSJn,298393.0,4.0
My Hood (Full Mix),Suni Clay,271413,,0.63,0.937,2.0,-3.036,1.0,0.187,0.134,0.0,0.156,0.762,100.096,audio_features,1buitg9HpTppOpOvXVu6E9,spotify:track:1buitg9HpTppOpOvXVu6E9,https://api.spotify.com/v1/tracks/1buitg9HpTppOpOvXVu6E9,https://api.spotify.com/v1/audio-analysis/1buitg9HpTppOpOvXVu6E9,271413.0,4.0
My Hood (Instrumental),Suni Clay,271565,,0.736,0.828,2.0,-3.45,1.0,0.0389,0.00177,0.837,0.0547,0.752,100.014,audio_features,5qifP4ZY4bJLahZ74mzlbC,spotify:track:5qifP4ZY4bJLahZ74mzlbC,https://api.spotify.com/v1/tracks/5qifP4ZY4bJLahZ74mzlbC,https://api.spotify.com/v1/audio-analysis/5qifP4ZY4bJLahZ74mzlbC,271027.0,4.0
My House,Flo Rida,192181,dance pop,0.688,0.702,7.0,-4.792,0.0,0.0499,0.0215,0.0,0.128,0.74,94.006,audio_features,6Knv6wdA0luoMUuuoYi2i1,spotify:track:6Knv6wdA0luoMUuuoYi2i1,https://api.spotify.com/v1/tracks/6Knv6wdA0luoMUuuoYi2i1,https://api.spotify.com/v1/audio-analysis/6Knv6wdA0luoMUuuoYi2i1,192191.0,4.0
My Love,Fella,8452,lithuanian electronic,0.669,0.742,8.0,-7.911,1.0,0.426,0.168,0.671,0.097,0.23,125.855,audio_features,2LVj8uqmRIBQUsYjAzogTt,spotify:track:2LVj8uqmRIBQUsYjAzogTt,https://api.spotify.com/v1/tracks/2LVj8uqmRIBQUsYjAzogTt,https://api.spotify.com/v1/audio-analysis/2LVj8uqmRIBQUsYjAzogTt,187386.0,3.0
My Lover,Birdtalker,3365895,folk-pop,0.328,0.185,0.0,-12.1,1.0,0.0365,0.83,7.3e-05,0.117,0.0923,71.454,audio_features,3PgZ3mM7KT9YubwfrYqb7H,spotify:track:3PgZ3mM7KT9YubwfrYqb7H,https://api.spotify.com/v1/tracks/3PgZ3mM7KT9YubwfrYqb7H,https://api.spotify.com/v1/audio-analysis/3PgZ3mM7KT9YubwfrYqb7H,269596.0,4.0
My Mistake,Nico Collins,234867,,0.437,0.884,1.0,-4.25,1.0,0.0804,0.0148,0.0,0.115,0.574,151.853,audio_features,2eSRPupsCdcZPcuqll1rmM,spotify:track:2eSRPupsCdcZPcuqll1rmM,https://api.spotify.com/v1/tracks/2eSRPupsCdcZPcuqll1rmM,https://api.spotify.com/v1/audio-analysis/2eSRPupsCdcZPcuqll1rmM,234931.0,4.0
